Iteration	Posterior	Likelihood	Prior	alpha	beta	diversification	extinction	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	root	speciation	turnover
910	-114.944	0	-114.944	26.5255	26.5255	0.0360262	6.34516	0.765117	0.926663	1.05184	1.25638	3.54433	0.0129655	0.201011	0.00100024	0.785023	63.2053	6.38118	6.34516
920	-115.611	0	-115.611	3.11918	3.11918	0.0460149	6.82536	0.398277	0.73792	1.08304	1.78076	1.2618	0.0107195	0.142548	0.128714	0.718019	62.3859	6.87137	6.82536
930	-118.31	0	-118.31	22.4593	22.4593	0.0622963	6.93225	0.745976	0.919381	1.05524	1.2794	0.752683	3.40021e-05	0.00207727	0.995585	0.00230398	62.793	6.99455	6.93225
940	-117.843	0	-117.843	19.2253	19.2253	0.0169329	6.42037	0.726814	0.911868	1.0585	1.30281	0.864419	0.019214	0.541202	0.120487	0.319097	62.4969	6.4373	6.42037
950	-121.491	0	-121.491	19.41	19.41	0.0534144	6.32157	0.728029	0.912351	1.0583	1.30132	1.05789	0.00820596	0.32816	0.0351397	0.628495	60.5365	6.37499	6.32157
960	-118.223	0	-118.223	14.963	14.963	0.0294699	6.60735	0.693173	0.898114	1.06386	1.34486	0.867508	0.0156737	0.123961	0.0878641	0.772501	60.2551	6.63682	6.60735
970	-113.371	0	-113.371	3.85688	3.85688	0.0345941	5.07948	0.446323	0.77011	1.0844	1.69917	4.6298	0.0158646	0.0128556	0.061323	0.909957	60.7955	5.11408	5.07948
980	-114.701	0	-114.701	3.57181	3.57181	0.0970808	4.41533	0.429172	0.758966	1.08418	1.72768	5.43748	0.0359808	0.118106	0.348963	0.49695	61.7333	4.51241	4.41533
990	-135.545	0	-135.545	1.94682	1.94682	0.0442335	4.26137	0.286843	0.649237	1.0686	1.99532	0.962278	0.026867	0.158247	0.534739	0.280147	61.1133	4.3056	4.26137
1000	-133.376	0	-133.376	2.21259	2.21259	0.0384596	3.23666	0.317396	0.67587	1.0745	1.93223	1.62038	0.0154109	0.673945	0.0140744	0.296569	62.154	3.27512	3.23666
1010	-121.273	0	-121.273	3.20899	3.20899	0.0477712	3.72452	0.40481	0.74248	1.08337	1.76934	1.38738	0.00920373	0.806638	0.0198569	0.164301	61.5087	3.77229	3.72452
1020	-134.331	0	-134.331	1.42481	1.42481	0.0579808	4.11478	0.21347	0.575543	1.04568	2.1653	0.999978	0.0341729	0.641814	0.30099	0.0230227	60.2063	4.17276	4.11478
1030	-130.111	0	-130.111	38.7579	38.7579	0.0401415	4.29042	0.803851	0.940743	1.04453	1.21087	0.599892	0.0446627	0.0579252	0.710144	0.187268	59.3564	4.33057	4.29042
1040	-123.326	0	-123.326	7.22093	7.22093	0.0886348	5.02518	0.574378	0.843147	1.07844	1.50404	0.38361	0.372286	0.0571888	0.225458	0.345067	60.2577	5.11381	5.02518
1050	-123.276	0	-123.276	15.0468	15.0468	0.0291561	3.84388	0.693961	0.898444	1.06374	1.34386	1.29163	0.378981	0.0496621	0.319041	0.252316	60.2136	3.87303	3.84388
1060	-129.982	0	-129.982	95.5647	95.5647	0.0601037	3.20771	0.873133	0.963866	1.03016	1.13284	0.770682	0.032995	0.0330994	0.641952	0.291953	61.2393	3.26781	3.20771
1070	-146.66	0	-146.66	113.435	113.435	0.0324707	3.88713	0.883305	0.96705	1.02791	1.12173	2.35303	0.0050534	3.8313e-05	0.0760985	0.91881	60.5945	3.9196	3.88713
1080	-134.199	0	-134.199	44.0937	44.0937	0.0474502	3.14561	0.815596	0.944845	1.04221	1.19735	2.80124	0.0530826	0.000119213	0.770415	0.176383	60.3741	3.19306	3.14561
1090	-135.819	0	-135.819	19.6824	19.6824	0.0474502	2.66076	0.729791	0.91305	1.05801	1.29915	3.02707	0.163782	3.98179e-06	0.00790648	0.828307	60.2614	2.70821	2.66076
1100	-142.679	0	-142.679	7.47097	7.47097	0.0219207	2.45625	0.580656	0.846327	1.07786	1.49516	2.39822	0.739393	2.92787e-06	0.0272603	0.233344	61.7396	2.47818	2.45625
1110	-127.153	0	-127.153	4.43536	4.43536	0.0720077	3.14756	0.476789	0.789035	1.08412	1.65006	2.72576	0.62751	6.12883e-05	0.260679	0.111749	61.2944	3.21957	3.14756
1120	-126.895	0	-126.895	5.12101	5.12101	0.0720077	4.60206	0.507027	0.806803	1.08308	1.60309	0.664057	0.123914	0.000231602	0.516348	0.359506	61.4165	4.67407	4.60206
1130	-121.181	0	-121.181	0.589172	0.589172	0.0519999	4.46387	0.0508826	0.306199	0.875692	2.76723	0.993064	0.0434322	0.00362401	0.604013	0.348931	60.5354	4.51587	4.46387
1140	-124.129	0	-124.129	10.0012	10.0012	0.0477353	3.75721	0.631492	0.870898	1.07233	1.42528	0.278837	0.34682	0.0061324	0.107498	0.53955	60.5296	3.80495	3.75721
1150	-132.181	0	-132.181	65.4406	65.4406	0.0654981	4.8049	0.847536	0.955619	1.03566	1.16119	0.538403	0.134246	0.0251407	0.808604	0.0320096	59.5376	4.8704	4.8049
1160	-123.984	0	-123.984	35.4607	35.4607	0.0382961	4.33025	0.795347	0.937725	1.04619	1.22074	0.740322	0.126153	0.668663	0.18926	0.015923	57.6868	4.36854	4.33025
