Iteration	Posterior	Likelihood	Prior	alpha	beta	diversification	extinction	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	root	speciation	turnover
780	-13304.8	-13128.6	-176.224	0.251356	0.251356	0.0486262	0.159632	0.00217555	0.0676709	0.504336	3.42582	16.1521	0.351593	0.363513	0.0632361	0.221658	93.8494	0.208258	0.159632
790	-13299	-13122	-176.953	0.25062	0.25062	0.038053	0.216489	0.00214076	0.0671379	0.502791	3.42793	16.9314	0.366474	0.356694	0.0605779	0.216254	96.7802	0.254542	0.216489
800	-13299.5	-13125.7	-173.832	0.255744	0.255744	0.0508757	0.160636	0.00239036	0.0708687	0.513444	3.4133	15.8593	0.351877	0.364904	0.0590064	0.224213	85.34	0.211511	0.160636
810	-13298.7	-13121.5	-177.213	0.247241	0.247241	0.0351734	0.100282	0.00198564	0.0647045	0.49563	3.43768	17.066	0.354794	0.359617	0.0595177	0.226072	97.1109	0.135455	0.100282
820	-13300.5	-13124.4	-176.132	0.253181	0.253181	0.0351734	0.237364	0.00226335	0.0689968	0.508146	3.42059	15.9298	0.357557	0.358077	0.0592629	0.225104	96.7483	0.272538	0.237364
830	-13303	-13125.3	-177.694	0.257665	0.257665	0.0410939	0.315838	0.00248841	0.0722787	0.517374	3.40786	15.9124	0.363519	0.347372	0.0602511	0.228857	98.0667	0.356932	0.315838
840	-13298.3	-13123	-175.359	0.262371	0.262371	0.0432382	0.114902	0.00273916	0.0757585	0.526859	3.39464	16.2516	0.358367	0.361903	0.0590099	0.220721	93.0492	0.15814	0.114902
850	-13311.4	-13132	-179.449	0.27305	0.27305	0.0320871	0.0744291	0.00336423	0.0837702	0.547642	3.36522	17.0845	0.347076	0.366509	0.0540797	0.232336	97.2094	0.106516	0.0744291
860	-13310.1	-13133.9	-176.181	0.266519	0.266519	0.0437169	0.118242	0.00297262	0.0788523	0.535051	3.38312	17.0606	0.345633	0.369631	0.0568315	0.227905	99.3449	0.161959	0.118242
870	-13305.3	-13126.7	-178.641	0.254233	0.254233	0.023894	0.211821	0.00231495	0.0697638	0.510328	3.41759	17.2236	0.360527	0.358747	0.0595316	0.221195	93.6767	0.235715	0.211821
880	-13303.7	-13128.3	-175.4	0.264907	0.264907	0.0617571	0.144502	0.00288052	0.0776476	0.531887	3.38758	15.3224	0.357971	0.363091	0.0602524	0.218685	88.7534	0.206259	0.144502
890	-13300.3	-13126.4	-173.896	0.271117	0.271117	0.0572593	0.102962	0.00324528	0.0823095	0.543955	3.37049	15.3224	0.333426	0.379702	0.0630089	0.223863	92.6714	0.160221	0.102962
